Op.,WoO,Hess,Biamonti,Title,Key,Date,Scoring,Genre,Comments
—, 177, 257, 734, Bester Magistrat  Ihr friert  canon, E major, 1820, 4vv 2db, Vocal, NaN
—, 178, —, 733, Abbé Stadler ("Signor Abate")  canon, B flat major, 1820, 3vv, Vocal, NaN
—, 179, —, 717, Alles Gute  alles Schöne! ("Seiner Kaiserlichen Hoheit")  canon, C major, 1819, 4vv, Vocal, NaN
—, 180, —, 724, Hofmann und kein Hofmann ("Auf einen  welcher Hoffmann geheißen")  canon, C major, 1820, 2vv, Vocal, NaN
—, 181/1, —, 749, Gedenket heute an Baden  canon, C major, 1820, 4vv, Vocal, NaN
—, 181/2, 258, 750, Gehabt euch wohl  canon, C major, 1820, 4vv, Vocal, NaN
—, 181/3, 259, 751, Tugend ist kein leerer Name  canon, C major, 1820, 3vv, Vocal, NaN
—, 182, —, 737, O Tobias!  canon, D minor, 1821, 3vv, Vocal, NaN
—, 183, —, 770, Bester Herr Graf  canon, F major, 1823, 4vv, Vocal, NaN
—, 184, 262, 773, Falstafferel  lass dich sehen!  canon, G major, 1823, 5vv, Vocal, NaN
—, 185, —, 775, Edel sei der Mensch  canon, E major, 1823, 6vv, Vocal, 1st version
—, 185, —, 775, Edel sei der Mensch  canon, E flat major, 1823, 6vv, Vocal, 2nd version
—, 186, —, 789, Te solo adoro  canon, E flat major, 1824, 2vv, Vocal, 1st setting of Hess 263  Hess 264
—, 187, —, 792, Schwenke ("Schwenke dich ohne Schwänke")  canon, D minor, 1824, 4vv, Vocal, NaN
—, 188, 265, 802, Gott ist eine feste Burg  canon, B flat major, 1825, 2vv, Vocal, NaN
—, 189, 266, 805, Doktor sperrt das Tor dem Tod  canon, C major, 1825, 4vv, Vocal, NaN
—, 190, 267, 807, Ich war hier  Doktor  canon, C major, 1825, 2vv, Vocal, NaN
—, 191, —, 823, Kühl  nicht lau  canon, B flat major, 1825, 3vv, Vocal, NaN
—, 192, 268, 824, Ars longa  vita brevis, F major, 1825, 4vv, Vocal, 2nd setting of WoO 170 and WoO 193
—, 193, 269, 833, Ars longa  vita brevis, C major, 1825, NaN, Vocal, 3rd setting of WoO 170 and WoO 192
—, 194, —, 827, Si non per portas  canon, E flat major, 1825, 4vv, Vocal, NaN
—, 195, —, 831, Freu dich des Lebens, A minor, 1825, 2vv, Vocal, NaN
—, 196, 270, 834, Es muß sein!  canon, F major, 1826, 4vv, Vocal, NaN
—, 197, 271, 842, Da ist das Werk  canon, C major, 1826, 5vv, Vocal, NaN
—, 198, 280, 848, Wir irren allesamt  canon, C major, 1826, 2vv, Vocal, NaN
—, 199, 281, 585, Ich bin der Herr von zu, D major, 1814, v, Vocal, NaN
—, 200, 75, 688, O Hoffnung, G major, 1818, pf, Keyboard, NaN
—, 201, 282, 689, Ich bin bereit, C major, 1818, pf, Keyboard, NaN
—, 202, 283, 778, Das Schöne zum Guten!  canon, F major, 1823, v, Vocal, 1st version of WoO 203
—, 203, 272, 804, Das Schöne zum Guten!  canon, A major, 1825, v, Vocal, 2nd version of WoO 202
—, 204, 284, 826, Holz  Holz geigt die Quartette so, D minor, 1825, v, Vocal, NaN
—, 205, 286-295, —, Musical Greetings(10), NaN, 1798-1826, v, Vocal, from Beethoven's letters and conversation books
—, Anh. 04, —, —, Flute Sonata, B flat major, 1790-92 ?, fl pf, Chamber, Beethoven's authoship uncertain
—, Anh. 05, —, —, Sonatinas (2), NaN, 1790-92 ?, pf, Keyboard, probably spurious
—, Anh. 10, —, —, Variations on 'Ich hab ein kleines Hüttchen nur', B flat major, 1795 ?, pf, Keyboard, Beethoven's authorship is doubtful
—, Anh. 14, —, —, Waltzes (6), NaN, NaN, pf, Keyboard, spurious; authorship unknown
—, —, 19, 129, Wind Quintet, E flat major, 1793-96, ob bn 2hn, Chamber, fragment only; completion by Leopold Alexander Zellner (1862)
—, —, 29, 80, Prelude and Fugue, E minor, 1794-95, 2vn vc, Chamber, NaN
—, —, 30, 80, Prelude and Fugue, F major, 1794-95, 2vn va vc, Chamber, NaN
—, —, 40, 684, String Quintet, D minor, 1817, 2vn 2va vc, Chamber, part of 1 movt. only
—, —, 91, —, Opferlied ("Die Flamme lodert"), E major, 1824, v ch pf, Vocal, 5th version of Op. 121b  WoO 126  Hess 91  Hess 145
—, —, 145, 117, Opferlied ("Die Flamme lodert"), E major, 1796, v pf, Vocal, 2nd version of Op. 121b  WoO 126  Hess 91
—, —, 238, 80, 9 Fugues for 4 Voices, NaN, 1794-95, 4open, Chamber, NaN
—, —, 244, 80, Triple Fugues (2), NaN, 1794-95, 4open, Chamber, NaN
—, —, Anh. 10, —, Andante favori, F major, NaN, 2vn va vc, Chamber, arr. of WoO 57; Beethoven's authorship uncertain
—, —, —, 838, Symphony No.10, E flat major, 1822-25, NaN, Orchestral, unfinished sketches only; completion by Barry Cooper (1988)
—, —, —, —, Bagatelle in F minor, F minor, 1826, pf, Keyboard, unidentified work; Beethoven's authorshp disputed
—, —, —, —, Hymne an die Nacht, C major, -, ch pf, Vocal, setting of theme from Op.57; Beethoven's authorship disputed
